Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,305300.0,306543.0,303400.0,306400.0,306400.0,2
2019-06-06,305800.0,308566.0,305200.0,307900.0,307900.0,4
2019-06-07,310000.0,310500.0,308940.0,309265.0,309265.0,3
2019-06-10,310460.0,312500.0,310280.0,311524.0,311524.0,2
2019-06-11,313190.0,313600.0,309315.0,310238.0,310238.0,2
2019-06-12,309250.0,310086.0,306465.0,307196.0,307196.0,2
2019-06-13,307000.0,308550.0,306795.0,307445.0,307445.0,2
2019-06-14,306695.0,308800.0,306320.0,308206.0,308206.0,1
2019-06-17,308206.0,308206.0,305000.0,305480.0,305480.0,1
2019-06-18,306915.0,309800.0,306410.0,308885.0,308885.0,3
2019-06-19,309740.0,312450.0,309550.0,310966.0,310966.0,3
2019-06-20,312600.0,313000.0,309120.0,312900.0,312900.0,3
2019-06-21,311378.0,313100.0,309000.0,309000.0,309000.0,3
2019-06-24,309000.0,311300.0,309000.0,310650.0,310650.0,2
2019-06-25,310500.0,312700.0,309513.0,312700.0,312700.0,3
2019-06-26,312385.0,315000.0,312350.0,312705.0,312705.0,2
2019-06-27,313200.0,318750.0,313200.0,318285.0,318285.0,4
2019-06-28,319400.0,319960.0,317107.0,318350.0,318350.0,3
2019-07-01,321032.0,322700.0,319943.0,321891.0,321891.0,4
2019-07-02,320600.0,323250.0,320413.0,321515.0,321515.0,2
2019-07-03,321815.0,322900.0,319120.0,322900.0,322900.0,2
2019-07-05,322600.0,323642.0,320918.0,323149.0,323149.0,2
2019-07-08,321400.0,323567.0,320974.0,322451.0,322451.0,1
2019-07-09,321000.0,322347.0,319500.0,322200.0,322200.0,1
2019-07-10,322500.0,324711.0,320591.0,320591.0,320591.0,2
2019-07-11,320905.0,321883.0,319453.0,319837.0,319837.0,4
2019-07-12,319750.0,321093.0,318832.0,321093.0,321093.0,1
2019-07-15,321500.0,321500.0,319455.0,320300.0,320300.0,1
2019-07-16,321040.0,322300.0,319250.0,319273.0,319273.0,2
2019-07-17,318325.0,318500.0,311115.0,311600.0,311600.0,5
2019-07-18,310770.0,313595.0,310770.0,312003.0,312003.0,6
2019-07-19,312600.0,312875.0,309200.0,309218.0,309218.0,3
2019-07-22,308500.0,309500.0,306623.0,307135.0,307135.0,3
2019-07-23,309192.0,309850.0,307600.0,309340.0,309340.0,3
2019-07-24,308750.0,312000.0,308675.0,312000.0,312000.0,2
2019-07-25,312000.0,312290.0,309980.0,310750.0,310750.0,2
2019-07-26,310977.0,315000.0,310275.0,315000.0,315000.0,2
2019-07-29,314833.0,314833.0,312977.0,313529.0,313529.0,2
2019-07-30,311650.0,312822.0,310805.0,312430.0,312430.0,2
2019-07-31,312000.0,314390.0,308666.0,308666.0,308666.0,2
2019-08-01,310250.0,311000.0,303200.0,303660.0,303660.0,3
2019-08-02,304170.0,306960.0,300132.0,306000.0,306000.0,2
2019-08-05,300150.0,302490.0,297500.0,297785.0,297785.0,5
2019-08-06,300000.0,316000.0,298255.0,302325.0,302325.0,3
2019-08-07,298000.0,300196.0,294511.0,299182.0,299182.0,3
2019-08-08,300000.0,302409.0,298700.0,301905.0,301905.0,2
2019-08-09,301000.0,301910.0,298110.0,300435.0,300435.0,3
2019-08-12,297850.0,300673.0,297100.0,298001.0,298001.0,1
2019-08-13,297799.0,302828.0,297250.0,299510.0,299510.0,2
2019-08-14,296100.0,296850.0,295000.0,295000.0,295000.0,2
2019-08-15,296600.0,299500.0,296076.0,298067.0,298067.0,2
2019-08-16,300260.0,301743.0,298687.0,300555.0,300555.0,1
2019-08-19,305000.0,305000.0,301055.0,301414.0,301414.0,2
2019-08-20,300700.0,301045.0,297505.0,297505.0,297505.0,1
2019-08-21,298700.0,300100.0,298567.0,299305.0,299305.0,3
2019-08-22,300000.0,302801.0,300000.0,302260.0,302260.0,3
2019-08-23,300200.0,301200.0,295405.0,296922.0,296922.0,5
2019-08-26,298100.0,300899.0,297540.0,300899.0,300899.0,2
2019-08-27,300821.0,302000.0,298000.0,298420.0,298420.0,2
2019-08-28,297955.0,301300.0,297387.0,300990.0,300990.0,2
2019-08-29,303400.0,305975.0,303100.0,305040.0,305040.0,3
2019-08-30,306750.0,306829.0,303078.0,303078.0,303078.0,2
2019-09-03,302200.0,302920.0,300731.0,301356.0,301356.0,2
2019-09-04,304200.0,304419.0,302500.0,303300.0,303300.0,1
2019-09-05,306000.0,309200.0,306000.0,306066.0,306066.0,2
2019-09-06,307250.0,307775.0,306000.0,307260.0,307260.0,2
2019-09-09,308799.0,311626.0,308799.0,309701.0,309701.0,2
2019-09-10,311100.0,312300.0,309400.0,311950.0,311950.0,3
2019-09-11,312250.0,316500.0,311575.0,316230.0,316230.0,4
2019-09-12,316970.0,319200.0,316675.0,317182.0,317182.0,5
2019-09-13,319000.0,321833.0,318400.0,320850.0,320850.0,4
2019-09-16,318101.0,318101.0,315345.0,315807.0,315807.0,1
2019-09-17,315807.0,316666.0,313220.0,315744.0,315744.0,2
2019-09-18,313950.0,317030.0,313950.0,317030.0,317030.0,2
2019-09-19,316400.0,317100.0,313500.0,315000.0,315000.0,1
2019-09-20,315000.0,315000.0,311500.0,313700.0,313700.0,4
2019-09-23,311150.0,313235.0,309971.0,313225.0,313225.0,2
2019-09-24,312000.0,313423.0,308885.0,310356.0,310356.0,2
2019-09-25,309750.0,312330.0,309700.0,311906.0,311906.0,1
2019-09-26,311906.0,311906.0,309671.0,310250.0,310250.0,3
2019-09-27,311880.0,312325.0,310055.0,311450.0,311450.0,1
2019-09-30,311450.0,312970.0,311390.0,311832.0,311832.0,2
2019-10-01,313100.0,314605.0,309830.0,310005.0,310005.0,2
2019-10-02,308600.0,308600.0,303665.0,305090.0,305090.0,7
2019-10-03,304585.0,307600.0,302260.0,307250.0,307250.0,6
2019-10-04,307887.0,312524.0,307887.0,312524.0,312524.0,2
2019-10-07,311000.0,312360.0,309555.0,310720.0,310720.0,1
2019-10-08,309400.0,309400.0,306040.0,306539.0,306539.0,4
2019-10-09,307660.0,310815.0,307133.0,310000.0,310000.0,2
2019-10-10,309700.0,312120.0,309540.0,309974.0,309974.0,2
2019-10-11,313270.0,315000.0,312120.0,312500.0,312500.0,4
2019-10-14,311700.0,311971.0,310500.0,311640.0,311640.0,1
2019-10-15,311583.0,315287.0,311567.0,314250.0,314250.0,3
2019-10-16,312725.0,314925.0,312725.0,313850.0,313850.0,2
2019-10-17,313640.0,314900.0,312970.0,313200.0,313200.0,2
2019-10-18,312807.0,314400.0,312595.0,313270.0,313270.0,2
2019-10-21,315275.0,317133.0,315275.0,317040.0,317040.0,3
2019-10-22,316300.0,317867.0,315888.0,316180.0,316180.0,1
2019-10-23,316000.0,316560.0,314398.0,316560.0,316560.0,3
2019-10-24,315250.0,316855.0,314619.0,315027.0,315027.0,3
2019-10-25,315250.0,318419.0,315250.0,317495.0,317495.0,4
2019-10-28,318000.0,319923.0,318000.0,319055.0,319055.0,4
2019-10-29,318200.0,319772.0,318000.0,319423.0,319423.0,5
2019-10-30,318735.0,320015.0,317490.0,320000.0,320000.0,4
2019-10-31,319819.0,320500.0,317310.0,318939.0,318939.0,5
2019-11-01,320250.0,324850.0,320000.0,323400.0,323400.0,5
2019-11-04,326850.0,327867.0,325523.0,326800.0,326800.0,3
2019-11-05,328000.0,332500.0,327500.0,331500.0,331500.0,8
2019-11-06,331000.0,333000.0,330500.0,332855.0,332855.0,4
2019-11-07,333720.0,335000.0,332600.0,333860.0,333860.0,5
2019-11-08,333225.0,333234.0,329975.0,331526.0,331526.0,2
2019-11-11,330380.0,331650.0,330380.0,330986.0,330986.0,1
2019-11-12,331850.0,333171.0,330950.0,331106.0,331106.0,1
2019-11-13,329150.0,330025.0,328240.0,329402.0,329402.0,2
2019-11-14,329500.0,329892.0,327120.0,329302.0,329302.0,2
2019-11-15,329400.0,330269.0,328455.0,329405.0,329405.0,3
2019-11-18,330000.0,330500.0,327800.0,329225.0,329225.0,2
2019-11-19,329860.0,329900.0,328315.0,328601.0,328601.0,3
2019-11-20,327600.0,327770.0,324200.0,326712.0,326712.0,3
2019-11-21,326000.0,326703.0,324580.0,325102.0,325102.0,2
2019-11-22,325695.0,326975.0,325305.0,326962.0,326962.0,1
2019-11-25,328000.0,328900.0,327521.0,328301.0,328301.0,2
2019-11-26,328301.0,328794.0,326780.0,328402.0,328402.0,2
2019-11-27,328875.0,330910.0,327720.0,330685.0,330685.0,3
2019-11-29,330424.0,330880.0,329705.0,330495.0,330495.0,3
2019-12-02,330802.0,332008.0,330374.0,330609.0,330609.0,3
2019-12-03,327600.0,328000.0,324900.0,327539.0,327539.0,2
2019-12-04,326782.0,328100.0,326780.0,327501.0,327501.0,2
2019-12-05,328200.0,329799.0,327500.0,329799.0,329799.0,2
2019-12-06,332870.0,334460.0,332600.0,333640.0,333640.0,4
2019-12-09,333640.0,334998.0,331770.0,331904.0,331904.0,2
2019-12-10,331904.0,333005.0,330670.0,332120.0,332120.0,5
2019-12-11,331424.0,333900.0,331424.0,333600.0,333600.0,3
2019-12-12,334330.0,339770.0,334330.0,338800.0,338800.0,6
2019-12-13,337754.0,339704.0,336000.0,338080.0,338080.0,2
2019-12-16,339850.0,341785.0,339313.0,340380.0,340380.0,3
2019-12-17,340807.0,342250.0,339000.0,339000.0,339000.0,3
2019-12-18,340250.0,340646.0,337400.0,337500.0,337500.0,2
2019-12-19,337320.0,338499.0,336065.0,337491.0,337491.0,5
2019-12-20,340219.0,341755.0,338567.0,339850.0,339850.0,3
2019-12-23,339000.0,339850.0,337633.0,338045.0,338045.0,2
2019-12-24,337920.0,338390.0,337649.0,338390.0,338390.0,1
2019-12-26,339725.0,339725.0,338439.0,339650.0,339650.0,1
2019-12-27,339600.0,340550.0,338340.0,338920.0,338920.0,2
2019-12-30,339000.0,339960.0,337025.0,338750.0,338750.0,3
2019-12-31,338750.0,340000.0,337920.0,339590.0,339590.0,1
2020-01-02,341150.0,342261.0,340065.0,342261.0,342261.0,4
2020-01-03,338207.0,341040.0,337755.0,339155.0,339155.0,2
2020-01-06,337750.0,340340.0,337100.0,340210.0,340210.0,3
2020-01-07,340000.0,340000.0,338200.0,338901.0,338901.0,3
2020-01-08,339450.0,341580.0,338850.0,339188.0,339188.0,2
2020-01-09,341100.0,343263.0,340800.0,343263.0,343263.0,3
2020-01-10,342796.0,342850.0,340000.0,340185.0,340185.0,1
2020-01-13,340600.0,342855.0,339560.0,342855.0,342855.0,2
2020-01-14,341101.0,342500.0,340490.0,340706.0,340706.0,2
2020-01-15,340450.0,342950.0,340450.0,342550.0,342550.0,1
2020-01-16,343155.0,345000.0,342806.0,344505.0,344505.0,2
2020-01-17,345000.0,347400.0,344550.0,344970.0,344970.0,2
2020-01-21,345000.0,346700.0,342185.0,342650.0,342650.0,3
2020-01-22,343100.0,345500.0,342680.0,344700.0,344700.0,2
2020-01-23,343596.0,344600.0,341150.0,344414.0,344414.0,2
2020-01-24,342850.0,343520.0,339139.0,340199.0,340199.0,3
2020-01-27,334450.0,335450.0,332000.0,333621.0,333621.0,5
2020-01-28,335600.0,338000.0,335032.0,336000.0,336000.0,2
2020-01-29,336250.0,339400.0,336250.0,336476.0,336476.0,1
2020-01-30,334360.0,342000.0,334360.0,342000.0,342000.0,2
2020-01-31,339855.0,339855.0,335120.0,335996.0,335996.0,3
2020-02-03,338160.0,339450.0,334580.0,334860.0,334860.0,2
2020-02-04,339220.0,340296.0,337280.0,337421.0,337421.0,2
2020-02-05,340400.0,342910.0,340359.0,342615.0,342615.0,3
2020-02-06,344290.0,345000.0,343070.0,344081.0,344081.0,2
2020-02-07,342000.0,342775.0,340345.0,340900.0,340900.0,2
2020-02-10,340904.0,341078.0,338000.0,340361.0,340361.0,2
2020-02-11,342350.0,342350.0,340461.0,340780.0,340780.0,2
2020-02-12,341900.0,343146.0,340404.0,341000.0,341000.0,2
2020-02-13,340500.0,341048.0,338500.0,338500.0,338500.0,3
